id;name;type;industry;description;website;phone;email;address;city;postal_code;country;location;logo;rse_score;verified;certifications;total_surplus;total_donations;total_sales;co_2_saved;waste_reduced;created_at;updated_at
1;through now fen;ASSOCIATION;even yet without;../fake-data/blob/hipster.txt;chapel;(654) 235-4879;Kyler_Crooks@yahoo.com;../fake-data/blob/hipster.txt;Port Alia;yearly cro;Libyan Arab Jamahiriya;limply boo collaborate;sarcastic oof;72;true;../fake-data/blob/hipster.txt;21091;5284;2963;25605.49;26134.84;2025-07-14T07:08:11;2025-07-14T01:49:13
2;providence marten;ASSOCIATION;freely institute;../fake-data/blob/hipster.txt;on give so;1-709-607-0707 x7138;Van2@gmail.com;../fake-data/blob/hipster.txt;Lake Moses;huzzah;Lesotho;floodlight;blindly;81;true;../fake-data/blob/hipster.txt;25748;28943;10140;13793.12;11044.49;2025-07-14T14:43:03;2025-07-14T14:37:07
3;light;BUSINESS;excellent;../fake-data/blob/hipster.txt;parallel;708-683-4985 x78557;Zachary_Schuster@gmail.com;../fake-data/blob/hipster.txt;North Haylieshire;pish deplo;Fiji;behind;readmit wobbly;94;true;../fake-data/blob/hipster.txt;12603;26342;7660;14326.59;390.46;2025-07-14T03:27:00;2025-07-14T11:06:26
4;hmph;STARTUP;pro;../fake-data/blob/hipster.txt;during chapel;793-934-3608 x284;Luz.Graham99@yahoo.com;../fake-data/blob/hipster.txt;Port Bria;scarily pf;Equatorial Guinea;courageously rigidly;so conservative meaty;62;true;../fake-data/blob/hipster.txt;14727;27089;6392;8152.64;9455.81;2025-07-14T17:44:50;2025-07-14T01:40:48
5;repeatedly;ASSOCIATION;obnoxiously;../fake-data/blob/hipster.txt;brr;394-212-6729 x1424;Elta_Rath12@yahoo.com;../fake-data/blob/hipster.txt;Lake Ruperttown;design clu;Trinidad and Tobago;lumpy ew gadzooks;thongs;92;false;../fake-data/blob/hipster.txt;1256;1213;18875;19607.41;28376.93;2025-07-14T10:41:03;2025-07-14T17:56:20
6;functional;BUSINESS;evenly when;../fake-data/blob/hipster.txt;silky;651-392-0309 x9402;Judd_Ward-Zulauf29@yahoo.com;../fake-data/blob/hipster.txt;Caldwell;strong;Albania;out interesting;meh;84;false;../fake-data/blob/hipster.txt;958;28538;29340;23328.84;526.05;2025-07-14T03:10:06;2025-07-14T11:02:38
7;honorable;ASSOCIATION;psst ouch;../fake-data/blob/hipster.txt;inspect adventurously;1-808-819-1599;Roderick33@hotmail.com;../fake-data/blob/hipster.txt;Lake Vivianeburgh;who;Niue;solidly broadside;until unlike austere;73;false;../fake-data/blob/hipster.txt;23795;25836;26715;19452.15;24443.7;2025-07-14T11:54:33;2025-07-14T10:45:25
8;as meanwhile hm;STARTUP;fooey;../fake-data/blob/hipster.txt;quarrelsomely inasmuch since;(816) 576-4284 x6156;Gage.Romaguera75@hotmail.com;../fake-data/blob/hipster.txt;East Burdette;now made-u;Djibouti;lava pleased;produce besides octave;58;false;../fake-data/blob/hipster.txt;3914;26598;3145;31978.68;2633.55;2025-07-14T00:18:20;2025-07-14T15:16:12
9;that until aftermath;BUSINESS;communicate boohoo all;../fake-data/blob/hipster.txt;ethyl quicker times;(379) 247-6579 x8800;Rudolph_Dibbert@gmail.com;../fake-data/blob/hipster.txt;Brentwood;knit;Tanzania;happily row yowza;after arrange;43;false;../fake-data/blob/hipster.txt;14188;27893;25856;19856.02;16060.55;2025-07-14T18:52:25;2025-07-14T02:19:32
10;scorn;BUSINESS;into past;../fake-data/blob/hipster.txt;cumbersome calmly thongs;597-347-3481;Melba.Lubowitz@hotmail.com;../fake-data/blob/hipster.txt;Abbeyfurt;fine wholl;Thailand;father highly needily;offensively regarding;5;false;../fake-data/blob/hipster.txt;28234;26433;10164;17875.26;12058.97;2025-07-14T01:33:09;2025-07-14T22:27:52
