id;title;description;category;jhi_condition;status;quantity;unit;estimated_value;sale_price;location;images;tags;expiration_date;pickup_instructions;views;interests;created_at;updated_at
1;if concentration lawful;../fake-data/blob/hipster.txt;OTHER;FAIR;IN_PROGRESS;13232;masquerade;21680.99;25149.71;portly crackle huzzah;../fake-data/blob/hipster.txt;construe oof;2025-07-14;../fake-data/blob/hipster.txt;13801;11280;2025-07-14T11:55:16;2025-07-14T08:51:55
2;questioningly;../fake-data/blob/hipster.txt;OFFICE_EQUIPMENT;GOOD;COMPLETED;4843;lest;30047.57;11860.72;excepting carouse yowza;../fake-data/blob/hipster.txt;quash;2025-07-14;../fake-data/blob/hipster.txt;18459;8899;2025-07-14T20:37:10;2025-07-14T22:03:33
3;nicely physically jeopardise;../fake-data/blob/hipster.txt;OFFICE_EQUIPMENT;LIKE_NEW;COMPLETED;7941;fantastic;23673.6;8078.9;oh;../fake-data/blob/hipster.txt;delight;2025-07-14;../fake-data/blob/hipster.txt;22904;24876;2025-07-13T23:25:58;2025-07-14T13:13:55
4;jealous;../fake-data/blob/hipster.txt;FURNITURE;GOOD;AVAILABLE;30701;tomatillo submissive;11737.75;10151.76;well-worn;../fake-data/blob/hipster.txt;rally perfectly thorough;2025-07-14;../fake-data/blob/hipster.txt;21805;25888;2025-07-14T01:38:17;2025-07-14T04:44:26
5;midwife;../fake-data/blob/hipster.txt;OTHER;NEW;COMPLETED;13605;willing;5717.34;18032.03;woeful atop;../fake-data/blob/hipster.txt;generously eyebrow thick;2025-07-14;../fake-data/blob/hipster.txt;28344;6020;2025-07-14T12:47:58;2025-07-14T17:19:12
6;masquerade;../fake-data/blob/hipster.txt;ELECTRONICS;NEW;IN_PROGRESS;30611;without nor;10130.19;20815.91;barring consequently jealously;../fake-data/blob/hipster.txt;westernize scarcely;2025-07-14;../fake-data/blob/hipster.txt;5421;11004;2025-07-14T01:37:48;2025-07-14T05:53:21
7;swift;../fake-data/blob/hipster.txt;RECYCLED_MATERIALS;FAIR;COMPLETED;17912;into unlined;31509.64;1631.35;randomize yawningly;../fake-data/blob/hipster.txt;defensive um;2025-07-14;../fake-data/blob/hipster.txt;12443;21100;2025-07-14T06:22:47;2025-07-14T04:54:32
8;yak an ha;../fake-data/blob/hipster.txt;OFFICE_EQUIPMENT;NEW;RESERVED;11741;hose;28651.71;9222.15;mismatch oof;../fake-data/blob/hipster.txt;rebuild woot quietly;2025-07-14;../fake-data/blob/hipster.txt;26229;12682;2025-07-14T14:29:34;2025-07-14T06:06:17
9;when far-off;../fake-data/blob/hipster.txt;ELECTRONICS;NEW;RESERVED;20340;submitter and;21089.71;12903.33;buzzing whoever if;../fake-data/blob/hipster.txt;drat profane whoa;2025-07-14;../fake-data/blob/hipster.txt;9816;5989;2025-07-14T17:46:06;2025-07-14T21:42:34
10;charm fussy mindless;../fake-data/blob/hipster.txt;CONSTRUCTION_MATERIALS;NEW;IN_PROGRESS;22901;frenetically inciden;20882.27;23850.32;sightseeing;../fake-data/blob/hipster.txt;equally although;2025-07-14;../fake-data/blob/hipster.txt;18471;4573;2025-07-14T10:22:41;2025-07-14T16:35:01
