id;type;status;price;quantity;message;documents;logistics;created_at;accepted_at;completed_at;cancelled_at;cancel_reason
1;SALE;COMPLETED;31430.21;1371;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T04:18:57;2025-07-14T03:18:09;2025-07-14T05:33:20;2025-07-14T07:21:35;../fake-data/blob/hipster.txt
2;DONATION;COMPLETED;5967.99;17329;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T04:07:04;2025-07-14T01:40:48;2025-07-14T11:09:36;2025-07-14T02:56:28;../fake-data/blob/hipster.txt
3;DONATION;IN_TRANSIT;4986.19;27289;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T16:12:46;2025-07-14T05:29:44;2025-07-14T06:25:52;2025-07-14T16:51:15;../fake-data/blob/hipster.txt
4;SALE;DELIVERED;22759.76;19155;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T18:22:07;2025-07-14T06:14:04;2025-07-14T08:48:31;2025-07-14T07:02:31;../fake-data/blob/hipster.txt
5;SALE;IN_TRANSIT;28324.96;15970;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T11:21:24;2025-07-14T05:27:26;2025-07-14T08:29:59;2025-07-14T15:44:33;../fake-data/blob/hipster.txt
6;SALE;IN_TRANSIT;28132.73;28383;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T06:40:46;2025-07-14T19:59:13;2025-07-14T12:35:47;2025-07-14T14:21:54;../fake-data/blob/hipster.txt
7;RECYCLING;IN_TRANSIT;18535.63;22734;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T05:22:31;2025-07-14T19:49:21;2025-07-14T18:05:48;2025-07-14T14:53:28;../fake-data/blob/hipster.txt
8;RECYCLING;COMPLETED;29594.7;28767;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T22:19:45;2025-07-14T18:25:33;2025-07-14T16:14:51;2025-07-14T17:31:13;../fake-data/blob/hipster.txt
9;DONATION;DELIVERED;25572.06;22003;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T02:49:25;2025-07-13T23:05:35;2025-07-14T09:20:25;2025-07-13T23:41:15;../fake-data/blob/hipster.txt
10;DONATION;PENDING;16593.52;30613;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-07-14T15:07:55;2025-07-14T11:04:50;2025-07-14T15:16:29;2025-07-14T01:48:30;../fake-data/blob/hipster.txt
